Comment,Designator,Footprint,LCSC
10K,"R11,R7,R8",resistor,C17414
2K2,R2,resistor,C17520
220R,"R1,R3,R4,R9",resistor,C17557
560,"R10,R5,R6",resistor,C28636
EL3H7(B)(TA)-G,U2,opto,C32565
AO3400A,"Q1,Q2,Q3",AO3400A,C344010
DBT10-7.62-2P-GN,U4,DBT10-7.62-2P-GN,C395930
JL850B-85003GA1,"U1,U3",JL850B-85003GA1,C409155
SMBJ5.0A,D1,diodeSMB,C440263
mSMD150,F1,fuse,C70122
SN75176BDR,IC1,SN75176BDR,C7063
19-213_Y2C-CQ2R2L_3T_CY_,"LED1,LED2,LED3",19-213_Y2C-CQ2R2L_3T(CY),C72038
LL4148,"D2,D3,D4",LL4148,C9808
